layer,rel_depth,n,median,median_lo,median_hi,mean,ci_lo,ci_hi
0,0.0,277,0.2932281771295846,0.1936331853840224,0.3870293994334906,-0.7598948137916469,-1.7706085724298444,-0.07336452222312247
1,0.03571428571428571,277,0.4668647583405522,0.38649454525702454,0.5325854123259055,-0.4942818301113056,-1.6785911915438716,0.225296821882183
2,0.07142857142857142,277,0.46954159731099476,0.4115722773296162,0.5334576685453787,-0.40269528266078575,-1.4282844134590627,0.2499821999498349
3,0.10714285714285714,277,0.46002412531479087,0.39728878147700486,0.5338624172531914,-0.273486598182914,-1.2622711178474948,0.31243639126868655
4,0.14285714285714285,277,0.4398358682984953,0.3935392171307509,0.5069609254071776,-0.2072208202179578,-0.9984150340120608,0.30768372768450103
5,0.17857142857142858,277,0.44890250099554563,0.3990157294594411,0.49927182653760593,-0.19637446181108315,-1.0062995639555696,0.31894886260778144
6,0.21428571428571427,277,0.43135414472687095,0.37804535016284113,0.4727432180589608,-0.13028421198452103,-0.8459276053281355,0.3276760877315171
7,0.25,277,0.38464456405161884,0.34491047976097433,0.4527457051497875,-0.10627577479737237,-0.761696057454069,0.31507381613663127
