layer,rel_depth,n,mean,ci_lo,ci_hi
0,0.0,12,-0.7918263427539817,-2.888222357488471,0.428448331171777
1,0.029411764705882353,12,0.12519958753105218,-0.6735447401045785,0.6395228066365896
2,0.058823529411764705,12,0.22948911231624577,-0.07335230780173808,0.5002999828615755
3,0.08823529411764706,12,0.24502085906669394,-0.084368924517494,0.529669410653263
4,0.11764705882352941,12,0.12057978504699822,-0.1957919931157922,0.3770111663568285
5,0.14705882352941177,12,0.061844201721344964,-0.420170726989259,0.40603053863329164
6,0.17647058823529413,12,0.028820379477655495,-0.34122374762349744,0.34591192355055367
7,0.20588235294117646,12,0.04192023676173528,-0.297961447722579,0.34709906435076254
